scope,threshold_min,affected_rentals,affected_share_of_scope,affected_share_of_all_rentals,solved_problematic_cases,solved_share_of_scope_problematic_cases,solved_share_of_all_problematic_cases,efficiency_solved_per_affected
connect,540,589,0.7244772447724477,0.027639605818864384,67,0.9710144927536232,0.3073394495412844,0.11375212224108659
connect,570,610,0.7503075030750308,0.028625058657907085,68,0.9855072463768116,0.3119266055045872,0.11147540983606558
connect,600,632,0.7773677736777368,0.02965743782261849,68,0.9855072463768116,0.3119266055045872,0.10759493670886076
connect,630,664,0.8167281672816729,0.031159080244016892,68,0.9855072463768116,0.3119266055045872,0.10240963855421686
connect,660,692,0.8511685116851169,0.0324730173627405,69,1.0,0.3165137614678899,0.09971098265895954
connect,690,723,0.8892988929889298,0.0339277334584702,69,1.0,0.3165137614678899,0.0954356846473029
connect,720,755,0.9286592865928659,0.03542937587986861,69,1.0,0.3165137614678899,0.0913907284768212
connect,750,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,780,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,810,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,840,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,870,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,900,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,930,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,960,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,990,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1020,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1050,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1080,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1110,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1140,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1170,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1200,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1230,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1260,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1290,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1320,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1350,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1380,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1410,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
connect,1440,813,1.0,0.03815110276865322,69,1.0,0.3165137614678899,0.08487084870848709
mobile,0,0,0.0,0.0,0,0.0,0.0,0.0
mobile,30,148,0.14396887159533073,0.006945096198967621,76,0.5100671140939598,0.3486238532110092,0.5135135135135135
mobile,60,220,0.2140077821011673,0.010323791647114031,98,0.6577181208053692,0.44954128440366975,0.44545454545454544
mobile,90,324,0.3151750972762646,0.015204129516658846,116,0.7785234899328859,0.5321100917431193,0.35802469135802467
mobile,120,371,0.36089494163424124,0.01740966682308775,121,0.8120805369127517,0.555045871559633,0.3261455525606469
mobile,150,458,0.4455252918287938,0.021492257156264665,130,0.87248322147651,0.5963302752293578,0.2838427947598253
mobile,180,498,0.48443579766536965,0.023369310183012672,132,0.8859060402684564,0.6055045871559633,0.26506024096385544
mobile,210,544,0.5291828793774319,0.025527921163772876,135,0.9060402684563759,0.6192660550458715,0.24816176470588236
mobile,240,571,0.5554474708171206,0.02679493195682778,136,0.912751677852349,0.6238532110091743,0.2381786339754816
mobile,270,603,0.5865758754863813,0.028296574378226184,140,0.9395973154362416,0.6422018348623854,0.23217247097844113
mobile,300,628,0.6108949416342413,0.029469732519943687,140,0.9395973154362416,0.6422018348623854,0.2229299363057325
mobile,330,655,0.6371595330739299,0.030736743312998593,141,0.9463087248322147,0.6467889908256881,0.2152671755725191
mobile,360,670,0.6517509727626459,0.03144063819802909,141,0.9463087248322147,0.6467889908256881,0.21044776119402986
mobile,390,694,0.6750972762645915,0.032566870014077896,141,0.9463087248322147,0.6467889908256881,0.20317002881844382
mobile,420,704,0.6848249027237354,0.0330361332707649,141,0.9463087248322147,0.6467889908256881,0.2002840909090909
mobile,450,727,0.7071984435797666,0.034115438761145,142,0.9530201342281879,0.6513761467889908,0.1953232462173315
mobile,480,740,0.7198443579766537,0.034725480994838104,144,0.9664429530201343,0.6605504587155964,0.1945945945945946
mobile,510,765,0.7441634241245136,0.03589863913655561,144,0.9664429530201343,0.6605504587155964,0.18823529411764706
mobile,540,779,0.7577821011673151,0.03655560769591741,146,0.9798657718120806,0.6697247706422018,0.18741976893453144
mobile,570,795,0.7733463035019456,0.03730642890661661,146,0.9798657718120806,0.6697247706422018,0.18364779874213835
mobile,600,817,0.7947470817120622,0.038338808071328015,147,0.9865771812080537,0.6743119266055045,0.1799265605875153
mobile,630,857,0.8336575875486382,0.04021586109807602,147,0.9865771812080537,0.6743119266055045,0.17152858809801633
mobile,660,882,0.857976653696498,0.041389019239793524,147,0.9865771812080537,0.6743119266055045,0.16666666666666666
mobile,690,923,0.8978599221789884,0.04331299859221023,147,0.9865771812080537,0.6743119266055045,0.15926327193932827
mobile,720,956,0.9299610894941635,0.04486156733927733,147,0.9865771812080537,0.6743119266055045,0.15376569037656904
mobile,750,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,780,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,810,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,840,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,870,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,900,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,930,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,960,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,990,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1020,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1050,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1080,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1110,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1140,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1170,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1200,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1230,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1260,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1290,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1320,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1350,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1380,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1410,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
mobile,1440,1028,1.0,0.04824026278742374,149,1.0,0.6834862385321101,0.14494163424124515
